2828,429169,-4393,510113
1254,531893,935,363628
2040,766959,-4186,311311
5062,902281,4000,723223
1171,36831,3626,287577
2543,393203,-1613,283074
7899,962446,2357,462715
9386,730162,4999,293666
7889,464489,846,481466
8393,572150,-2639,445886
721,802274,-1551,699554
5911,130146,2544,352298
5987,70078,2445,625673
404,705024,-910,659566
1038,944303,-690,254926
2288,450604,3527,724231
6276,596447,-2820,553320
929,242009,4264,445527
8034,843563,1329,498323
1183,742812,-1492,382963
3193,354686,2219,557964
760,371488,1730,625760
604,744918,-277,307651
531,605594,-656,492949
4198,347506,3923,290515
5419,568585,1899,440943
4378,96759,-3099,299940
4827,960053,-1212,547008
4739,319343,-1858,364947
4510,708143,-4816,454975
3322,714046,-2400,744247
5883,787735,1997,251823
8712,826569,560,625123
2543,496852,958,358078
5667,307295,-2928,694881
6988,763133,-3850,685045
6906,823648,-1635,636108
2583,283142,-2761,494619
4450,100684,-1404,662246
5658,696336,-3808,560935
7402,358381,2477,492230
1143,592774,544,638514
2897,132092,150,504787
7581,772474,864,280347
68,850386,-3740,292778
6169,798998,-1387,628906
937,478571,2192,457298
4730,690079,762,730190
2445,755621,-3082,649897
9793,166356,2223,290990
5683,676069,-4480,319899
9542,236686,4974,516004
8616,417349,4898,636153
5703,56618,4917,271449
9212,842223,-3693,673904
4137,42991,-4402,444129
9335,779342,3408,418954
1302,62116,1643,337312
5,485768,-800,298671
1162,939113,3021,706705
7258,557332,-2076,401603
5121,487567,2450,284424
52,232040,-2052,624648
3156,472565,4878,293986
3661,480385,4375,633889
1149,989662,-2914,680485
5941,774170,3667,570208
7595,173166,-1430,517270
2130,48653,803,733572
7662,629772,-4353,455195
4361,483243,3890,399323
6535,768146,2638,527647
7931,588126,-809,439650
6732,156173,-4961,465730
7521,492372,3156,600382
8123,471869,-964,665507
4630,949933,4094,740154
6549,934539,3806,606409
3508,764538,4162,514305
4201,102312,1201,357409
5904,630830,1577,255680
7607,260642,4566,393004
6663,356508,-3352,453154
5926,993997,-742,433736
2031,885934,-304,724060
1104,403139,-2813,726702
2381,740073,-1876,702957
240,608579,-1707,618435
73,546772,-4467,514682
9944,76454,-871,652316
1919,591269,-1921,428141
2552,433030,-2617,298342
5661,283367,2519,311579
74,20074,-2877,393773
5899,411271,-1920,397460
2187,984216,3697,341653
9365,468404,-2689,597257
6968,866981,3353,474512
5014,220852,-3689,506812
1533,926857,-4799,553887
8616,525209,2331,552749
154,993368,2973,609143
638,895802,1378,575717
3322,938718,3856,363977
9478,402820,-124,618073
3224,946709,-2849,330278
833,488450,53,333612
5289,853820,2687,331739
123,605759,-4006,649740
8290,566817,4978,617155
6022,172233,4025,385731
3460,327954,2257,393165
5399,673901,1976,698080
6545,106780,-3774,291329
148,216253,2060,607656
1949,991002,431,457071
5410,614943,137,334622
983,967478,-3137,510821
9236,213731,4242,508802
2130,326218,1818,749265
5518,35472,1344,257745
7695,415365,3646,573510
8024,140177,250,549902
7624,169869,-1645,392001
503,557240,4910,470319
8214,205155,495,598319
1156,554318,4916,593209
260,459222,-2839,381159
6087,313487,3909,593786
1233,973875,-1747,349465
2291,25926,1667,279079
7751,280005,-3301,620244
6409,718323,1025,360996
2647,876116,1135,267550
5914,298028,-4362,440179
6206,355304,2101,388357
5125,775785,-2759,387278
6721,104041,2257,570581
2600,470687,-597,302127
1616,469780,-3828,494193
3555,590389,-4510,349003
8307,406116,1020,346740
2571,696597,2669,480352
7839,468456,1597,278686
5590,454943,1342,494004
3967,677644,-2959,578492
2309,680624,4539,719228
8893,74563,-3274,318950
3900,439989,4909,658863
4179,934859,3115,486865
7958,719136,-3108,676057
5719,109517,-456,390595
5091,760641,4300,613073
8254,499138,280,644968
3156,980440,-704,435697
1915,849249,-4623,744660
65,555849,2567,312036
5775,622854,-1778,414571
8976,107481,655,467822
7345,340167,-1324,398214
5639,45383,-1328,525363
1545,338435,4227,405656
8488,701893,-3737,573068
2751,103062,-3532,621020
6494,95953,3203,427835
9945,298875,-2201,315284
5198,599718,-2963,715741
4660,339949,-1942,545799
3183,186741,3083,355132
7190,911902,-410,453422
9357,988252,-450,570310
9826,64161,-1275,495127
1113,591161,354,396182
6847,782435,1916,603491
7805,835022,3227,639512
6211,593557,4347,727289
3812,538336,402,729450
3829,875293,1684,565442
5688,168671,1845,673279
5058,420390,-1571,289524
8891,551876,2033,346422
5662,580961,433,539996
2529,795093,-1375,507446
3490,175040,477,511987
2893,681305,-4063,256614
3758,91758,-20,517018
4996,715408,-3015,480304
8679,81984,-668,677893
1797,784830,-4195,594164
640,203712,4612,571809
2581,667143,-3739,415156
3820,118060,-627,306307
5044,63905,4863,658195
2279,882090,-3705,460999
7455,789085,-3776,308418
863,485247,-4261,576243
9730,662068,-3745,488270
7525,935762,1029,272940
5047,525297,3617,650237
9102,848045,-103,527037
7916,200970,2851,725981
8858,884972,-1950,271307
5838,140195,-909,551430
8389,786880,4310,568564
131,775183,-3567,495158
4253,399941,-2342,480699
7769,833088,1018,663814
7027,90425,563,391101
2991,666714,4313,387940
3435,864569,-4089,389146
8527,23294,4544,540480
5786,520247,4305,389779
9324,967821,-4274,605028
3318,138404,1318,278427
1667,332463,1396,716402
1359,217067,-728,385688
8337,565506,377,396708
9368,437021,-3935,456034
6737,871418,-3303,743859
3187,261700,-2254,512284
5792,128028,1394,650800
3657,376604,-1600,692866
8782,246673,1995,626943
5831,897935,-1485,720698
8814,765541,3398,675338
333,594699,1021,436275
759,85648,-1868,323451
1821,813564,224,527103
2030,663644,2147,292364
8867,193545,-4118,449973
4380,57888,-2119,566987
5747,762475,-1682,513552
1346,644762,1803,380014
1711,234693,-3096,579629
1634,251320,-4228,691889
5978,350660,-2615,564726
1996,31495,3263,671390
5187,93587,3027,744236
11,480819,-2268,549446
704,111874,252,589967
1007,401851,2933,662555
2441,602940,2382,383250
741,996961,626,729977
2501,83791,-3763,727220
3807,358403,926,361732
8245,829549,4780,533507
6598,665497,-3032,665972
8684,945415,-3852,585470
3114,973894,-2545,644993
6014,992714,368,611616
7548,69211,-3614,300936
85,34109,-94,372148
7370,910689,-549,322748
7824,560839,237,459628
3301,225816,223,579075
8345,686179,3666,496229
7197,891327,-4352,362862
8864,559860,-2685,578098
7742,318216,2851,390103
2102,757359,-908,611636
1096,501748,159,731285
1179,147321,1408,678234
743,956476,367,269875
8298,629866,1044,489821
5995,134841,-1523,659772
5735,953701,3535,327914
9713,716529,-4247,653043
4275,118875,-2788,382746
5413,283711,-1604,574475
8659,106434,-4008,603988
8023,745822,-4162,268352
4872,433702,-4227,345322
47,555483,-2516,322223
6309,421427,1257,665053
3535,344923,-2343,538453
9114,673898,-4397,713641
4704,676182,-4507,408019
5907,338521,4606,675909
2142,113590,4038,677354
3958,419471,-4832,590756
5519,511328,-2238,558521
4996,864300,3452,314078
1762,617795,3950,417919
1120,192150,-4806,721208
6995,729173,-251,718079
8936,376961,3262,589424
4629,592735,3728,603647
7595,467862,-4380,484518
4529,383301,691,508066
7390,950717,4555,715522
6625,448027,866,355066
